Date,Day,Week,Book,Chapter/Topic,What to Study,Task Type,Time (hrs),YouTube Resource,Notes to Refer,Status
Dec 22,Sunday,Week 7,AI Engineering,Ch 8: Infrastructure,Cloud platforms AWS/GCP Cost optimization,Reading+Practice,2,AWS SageMaker,GCP AI Platform,Pending
Dec 23,Monday,Week 7,AI Engineering,Ch 9: LLM Systems,LLM deployment Prompt engineering,Reading+Code,1.5,OpenAI API Tutorial,LangChain documentation,Pending
Dec 24,Tuesday,Week 7,AI Engineering,Ch 10: Vector DBs,Vector databases Embeddings RAG systems,Reading+Practice,1.5,Pinecone Tutorial,Chroma DB documentation,Pending
Dec 25,Wednesday,Week 7,AI Engineering,Review & Project,AI Eng review Build mini MLOps project,Project,1.5,MLOps project ideas,Portfolio examples,Pending
Dec 26,Thursday,Week 8,Generative DL,Ch 1: GenAI Intro,Generative modeling overview VAE intro,Reading,1.5,Lex Fridman GenAI,OpenAI research blog,Pending
Dec 27,Friday,Week 8,Generative DL,Ch 2: Deep Learning,DL fundamentals for GenAI Keras advanced,Reading+Code,2,Keras advanced tutorials,Fast.ai deep learning,Pending
Dec 28,Saturday,Week 8,Generative DL,Ch 3: VAEs,Variational Autoencoders deep dive,Reading+Code,2,Arxiv Insights VAE,DeepLearning.AI VAE,Pending
Dec 29,Sunday,Week 8,Generative DL,Ch 4: GANs,GAN architectures Training GANs StyleGAN,Reading+Code,2,Two Minute Papers GANs,GAN Lab interactive,Pending
Dec 30,Monday,Week 8,Generative DL,Ch 5: Autoregressive,PixelCNN WaveNet Autoregressive models,Reading+Practice,1.5,DeepMind Autoregressive,Arxiv paper reviews,Pending
Dec 31,Tuesday,Week 8,Generative DL,Ch 6: Normalizing Flows,Flow-based models Glow RealNVP,Reading+Code,1.5,Yannic Kilcher Flows,Paper with code,Pending
Jan 1,Wednesday,Week 9,Generative DL,Ch 7: Energy Models,Energy-based models Score matching,Reading+Practice,1.5,Yann LeCun Energy,DeepLearning.AI energy,Pending
Jan 2,Thursday,Week 9,Generative DL,Ch 8: Diffusion Models,DDPM DDIM Stable Diffusion intro,Reading+Code,1.5,HuggingFace Diffusers,Stability AI blog,Pending
Jan 3,Friday,Week 9,Generative DL,Ch 9: Transformers for GenAI,GPT BERT T5 for generation,Reading+Code,2,Andrej Karpathy GPT,HuggingFace transformers,Pending
Jan 4,Saturday,Week 9,Generative DL,Ch 10: Music Generation,Music Gen models MusicLM AudioCraft,Reading+Practice,2,Google Magenta,Meta AudioCraft docs,Pending
Jan 5,Sunday,Week 9,Generative DL,Ch 11: Video Generation,Video diffusion Runway ML Video Gen,Reading+Code,2,Runway ML tutorials,Stability AI video,Pending
Jan 6,Monday,Week 10,Generative DL,Ch 12: World Models,World models Game AI RL+GenAI,Reading+Practice,1.5,DeepMind World Models,OpenAI world models,Pending
Jan 7,Tuesday,Week 10,Generative DL,Review & Project,GenDL review Build GenAI mini project,Project,1.5,GenAI project ideas,GitHub GenAI repos,Pending
Jan 8,Wednesday,Week 10,Prob ML Advanced,Ch 1: Intro to Prob ML,Probabilistic thinking Bayesian inference intro,Reading,1.5,3Blue1Brown Bayes,TowardsAI Bayesian ML,Pending
Jan 9,Thursday,Week 10,Prob ML Advanced,Ch 2: Probability Review,Probability distributions Conjugate priors,Reading+Practice,1.5,StatQuest Distributions,GeeksForGeeks probability,Pending
Jan 10,Friday,Week 10,Prob ML Advanced,Ch 3: Bayesian Stats,Bayesian inference MCMC Gibbs sampling,Reading+Code,2,Ben Lambert Bayesian,PyMC documentation,Pending
Jan 11,Saturday,Week 11,Prob ML Advanced,Ch 4: Graphical Models,Bayesian networks Markov networks,Reading+Practice,2,Koller Graphical Models,PGM Coursera notes,Pending
Jan 12,Sunday,Week 11,Prob ML Advanced,Ch 5: Latent Variable Models,EM algorithm GMMs Factor analysis,Reading+Code,2,StatQuest EM Algorithm,Scikit-learn GMM,Pending
Jan 13,Monday,Week 11,Prob ML Advanced,Ch 6: Kernel Methods,Gaussian processes Kernel trick SVMs revisited,Reading+Code,1.5,Nando de Freitas GP,Scikit-learn GP,Pending
Jan 14,Tuesday,Week 11,Prob ML Advanced,Ch 7: Sparse Models,LASSO Elastic net Sparse Bayesian learning,Reading+Practice,1.5,StatQuest LASSO,Scikit-learn regularization,Pending
Jan 15,Wednesday,Week 11,Prob ML Advanced,Ch 8: Variational Inference,Variational Bayes ELBO Mean-field approximation,Reading+Code,1.5,David Blei VI,Pyro VI documentation,Pending
Jan 16,Thursday,Week 11,Prob ML Advanced,Ch 9: Monte Carlo Methods,MCMC Metropolis-Hastings HMC,Reading+Practice,1.5,Richard McElreath MCMC,Stan documentation,Pending
Jan 17,Friday,Week 12,Prob ML Advanced,Ch 10: Deep Generative,VAEs deep dive Normalizing flows advanced,Reading+Code,2,Arxiv Insights Deep Gen,PyTorch VAE examples,Pending
Jan 18,Saturday,Week 12,Prob ML Advanced,Ch 11: Bayesian DL,Bayesian neural networks Uncertainty quantification,Reading+Code,2,Yarin Gal Bayesian DL,TensorFlow Probability,Pending
Jan 19,Sunday,Week 12,Prob ML Advanced,Ch 12: Causal Inference,Causal graphical models Do-calculus,Reading+Practice,2,Judea Pearl lectures
